"date","case","death","hospitalized","admission","discharge"
2020-02-10,1,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,1,1,0
2020-02-17,0,0,1,0,0
2020-02-18,0,0,1,0,0
2020-02-19,0,0,0,0,1
2020-02-20,1,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,1,0,0,0,0
2020-02-23,1,0,0,0,0
2020-02-24,1,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,2,0,0,0,0
2020-03-02,2,0,0,0,0
2020-03-03,1,0,0,0,0
2020-03-04,1,0,0,0,0
2020-03-05,6,0,0,0,0
2020-03-06,5,0,0,0,0
2020-03-07,3,0,0,0,0
2020-03-08,9,0,0,0,0
2020-03-09,8,0,0,0,0
2020-03-10,6,0,0,0,0
2020-03-11,9,0,0,0,0
2020-03-12,14,0,0,0,0
2020-03-13,22,0,0,0,0
2020-03-14,17,0,1,1,0
2020-03-15,27,0,1,0,0
2020-03-16,15,0,1,0,0
2020-03-17,21,0,2,1,0
2020-03-18,15,0,2,0,0
2020-03-19,25,0,4,3,1
2020-03-20,20,0,7,3,0
2020-03-21,21,0,10,3,0
2020-03-22,26,0,11,3,2
2020-03-23,21,0,15,4,0
2020-03-24,17,1,17,2,0
2020-03-25,23,0,20,4,1
2020-03-26,12,0,21,2,1
2020-03-27,18,0,26,5,0
2020-03-28,24,1,27,3,2
2020-03-29,16,0,30,7,4
2020-03-30,23,1,32,3,1
2020-03-31,16,0,33,5,4
2020-04-01,24,0,33,2,2
2020-04-02,18,2,36,7,4
2020-04-03,23,0,37,5,4
2020-04-04,18,1,42,7,2
2020-04-05,26,2,43,3,2
2020-04-06,19,1,44,4,3
2020-04-07,21,0,44,3,3
2020-04-08,22,2,49,7,2
2020-04-09,31,0,49,5,5
2020-04-10,30,0,48,3,4
2020-04-11,40,0,50,4,2
2020-04-12,35,2,50,1,1
2020-04-13,19,3,47,1,4
2020-04-14,36,2,51,5,1
2020-04-15,28,5,48,2,5
2020-04-16,67,0,53,8,3
2020-04-17,38,2,48,0,5
2020-04-18,38,5,48,1,1
2020-04-19,15,4,49,5,4
2020-04-20,49,4,48,2,3
2020-04-21,38,7,44,2,6
2020-04-22,49,7,44,4,4
2020-04-23,42,3,44,4,4
2020-04-24,35,8,49,6,1
2020-04-25,97,10,50,5,4
2020-04-26,58,9,50,4,4
2020-04-27,60,7,56,8,2
2020-04-28,35,9,58,6,4
2020-04-29,26,7,59,4,3
2020-04-30,28,9,56,2,5
2020-05-01,25,14,56,6,6
2020-05-02,24,6,57,3,2
2020-05-03,19,6,58,4,3
2020-05-04,16,8,54,4,8
2020-05-05,38,2,50,1,5
2020-05-06,21,4,48,3,5
2020-05-07,24,10,50,4,2
2020-05-08,15,6,51,5,4
2020-05-09,15,4,56,8,3
2020-05-10,9,7,53,3,6
2020-05-11,22,2,52,1,2
2020-05-12,24,4,55,5,2
2020-05-13,18,2,52,1,4
2020-05-14,17,5,49,3,6
2020-05-15,26,2,48,2,3
2020-05-16,18,5,48,2,2
2020-05-17,12,1,45,0,3
2020-05-18,15,4,45,2,2
2020-05-19,12,4,42,0,3
2020-05-20,15,7,43,3,2
2020-05-21,9,9,42,0,1
2020-05-22,6,1,41,1,2
2020-05-23,8,6,39,1,3
2020-05-24,6,1,38,1,2
2020-05-25,15,3,38,0,0
2020-05-26,7,4,40,3,1
2020-05-27,7,0,39,0,1
2020-05-28,3,1,38,2,3
2020-05-29,8,1,38,3,3
2020-05-30,4,2,36,0,2
2020-05-31,3,1,38,3,1
2020-06-01,11,1,39,1,0
2020-06-02,3,0,37,0,2
2020-06-03,13,1,34,0,3
2020-06-04,3,3,31,0,3
2020-06-05,2,2,31,2,2
2020-06-06,0,1,31,1,1
2020-06-07,1,1,31,0,0
2020-06-08,0,1,31,0,0
