"ID","jurisdiction","weighted_fatality","population"
3345,"Denmark",0.008792,5792.203
3450,"Norway",0.007924,5421.242
3465,"Sweden",0.008856,10099.27
3480,"United_Kingdom",0.009185,67886.004
3570,"Italy",0.010893,60461.828
3675,"Spain",0.009262,46754.783
3705,"Austria",0.008967,9006.4
3720,"Belgium",0.009818,11589.616
3735,"France",0.011526,65273.512
3750,"Germany",0.010928,83783.945
3795,"Switzerland",0.008815,8654.618
1,"BC",0.008792,NA
2,"AB",0.008815,NA
3,"SK",0.007924,NA
4,"MB",0.007924,NA
5,"ON",0.010928,NA
6,"QC",0.009818,NA
7,"NB",0.009818,NA
8,"NL",0.009262,NA
9,"NS",0.008792,NA
10,"PE",0.008815,NA
11,"YK",0.008856,NA
12,"NT",0.010893,NA
13,"NV",0.008815,NA
